season,episode,title,rating_imdb
1,1,Pilot,8.7
1,2,The Big Bran Hypothesis,8.5
1,3,The Fuzzy Boots Corollary,8.6
1,4,The Luminous Fish Effect,8.4
1,5,The Hamburger Postulate,8.2
1,6,The Middle Earth Paradigm,8.3
1,7,The Dumpling Paradox,8.2
1,8,The Grasshopper Experiment,8.5
1,9,The Cooper-Hofstadter Polarization,8.7
1,10,The Loobenfeld Decay,8.6
1,11,The Pancake Batter Anomaly,8.4
1,12,The Jerusalem Duality,8.3
1,13,The Bat Jar Conjecture,8.2
1,14,The Financial Permeability,8.1
1,15,The Porkchop Indeterminacy,8.4
1,16,The Peanut Reaction,8.5
1,17,The Terminator Decoupling,8.6
1,18,The Staircase Implementation,8.7
1,19,The Separation Agitation,8.3
1,20,The Hofstadter Isotope,8.5
1,21,The Big Bear Precipitation,8.6
1,22,The Friendship Algorithm,8.7
1,23,The Baghdad Configuration,8.4
1,24,The Dubious Morality of a Best Friend,8.6
2,1,The Bad Fish Paradigm,8.8
2,2,The Codpiece Topology,8.7
2,3,The Barbarian Sublimation,8.9
2,4,The Griffin Equivalency,8.8
2,5,The Financial Permeability,8.5
2,6,The Proximity Dilemma,8.4
2,7,The Panty Piñata Polarization,8.6
2,8,The Lizard-Spock Expansion,8.7
2,9,The White Asparagus Triangulation,8.5
2,10,The Vengeance Formulation,8.6
2,11,The Bath Item Gift Hypothesis,8.9
2,12,The Killer Robot Instability,8.8
2,13,The Friendship Algorithm,8.7
2,14,The Financial Permeability,8.5
3,1,The Electric Can Opener Fluctuation,9.0
3,2,The Jiminy Conjecture,8.9
3,3,The Staircase Implementation,9.2
3,4,The Lunar Excitation,8.8
3,5,The Work Song Nanocluster,9.1
3,6,The Deposition Corrosion,8.7
3,7,The Pancake Batter Anomaly,8.5
3,8,The Bozeman Reaction,8.9
3,9,The Recombination Hypothesis,8.8
3,10,The Gorilla Experiment,9.2
3,11,The Psychopath Test,8.6
3,12,The Bizarro Jerry,8.5
3,13,The Cooper-Hofstadter Polarization,9.0
3,14,The Financial Permeability,8.8
3,15,The Amber-Autonomy Effect,8.7
3,16,The Dull Mortality Paradox,9.2
3,17,The Cake Decoupling,8.8
3,18,The Kissing Controversy,9.0
3,19,The Mirror Neuron Demolition,9.1
3,20,The Weather Forecast Paradox,8.9
3,21,The Double-Helix Hypothesis,8.5
3,22,The Staircase Implementation,9.2
3,23,The Lunar Excitation,8.8
4,1,The Robotic Manipulation,8.5
4,2,The Cruciferous Vegetable Amplification,8.7
4,3,The Fish Fry Fluctuation,9.0
4,4,The Terminator Decoupling,8.6
4,5,The Bedroom Experiment,8.7
4,6,The Climbing Equation,9.0
4,7,The Universal Theorem,8.6
4,8,The Space-Time Anomaly,8.8
4,9,The Cheesecake Tactic,8.7
4,10,The Atomic Exchange,9.1
4,11,The Alien's Conundrum,8.5
4,12,The Balloon Experiment,8.6
4,13,The Spaceship Retrieval,8.7
4,14,The Funhouse Antagonism,8.5
4,15,The Meteorite Incident,8.8
4,16,The Umbrella Paradox,8.6
4,17,The Quantum Calculation,9.0
4,18,The Universal Surplus,8.8
4,19,The Romance Equation,8.7
4,20,The Particle Theory,8.9
4,21,The Telepathy Paradox,8.6
4,22,The Walking Simulation,8.9
